episode,reward,win,wrong_guesses,repeated_guesses,episode_length
956,-55,0,6,0,7
957,-60,0,6,0,6
958,-55,0,6,0,7
959,60,1,3,0,8
960,-55,0,6,0,7
961,-60,0,6,0,6
962,-60,0,6,0,6
963,-60,0,6,0,6
964,-50,0,6,0,8
965,60,1,3,0,8
966,50,1,4,0,7
967,-60,0,6,0,6
968,45,1,3,0,5
969,-55,0,6,0,7
970,-60,0,6,0,6
971,60,1,0,0,2
972,50,1,3,0,6
973,-60,0,6,0,6
974,-55,0,6,0,7
975,55,1,3,0,6
976,-60,0,6,0,6
977,65,1,2,0,7
978,45,1,3,0,5
979,-60,0,6,0,6
980,55,1,3,0,7
981,-60,0,6,0,6
982,55,1,3,0,7
983,50,1,2,0,4
984,-60,0,6,0,6
985,45,1,4,0,7
986,-60,0,6,0,6
987,60,1,0,0,2
988,-60,0,6,0,6
989,35,1,4,0,5
990,65,1,2,0,7
991,60,1,2,0,5
992,50,1,2,0,4
993,50,1,5,0,10
994,-60,0,6,0,6
995,-45,0,6,0,9
996,60,1,2,0,6
997,-60,0,6,0,6
998,-60,0,6,0,6
999,-55,0,6,0,7
1000,45,1,5,0,9
1001,45,1,5,0,8
1002,60,1,3,0,7
1003,50,1,2,0,4
1004,55,1,4,0,9
1005,70,1,1,0,6
1006,30,1,5,0,6
1007,-60,0,6,0,6
1008,-60,0,6,0,6
1009,-60,0,6,0,6
1010,-50,0,6,0,7
1011,60,1,2,0,6
1012,45,1,3,0,5
1013,60,1,3,0,7
1014,-50,0,6,0,8
1015,-45,0,6,0,9
1016,75,1,0,0,4
1017,-60,0,6,0,6
1018,-55,0,6,0,7
1019,-60,0,6,0,6
1020,-60,0,6,0,6
1021,-55,0,6,0,7
1022,-60,0,6,0,6
1023,-60,0,6,0,6
1024,45,1,4,0,7
1025,-60,0,6,0,6
1026,-60,0,6,0,6
1027,-60,0,6,0,6
1028,-60,0,6,0,6
1029,50,1,5,0,10
1030,-55,0,6,0,7
1031,55,1,3,0,7
1032,-55,0,6,0,7
1033,-60,0,6,0,6
1034,50,1,5,0,10
1035,-60,0,6,0,6
1036,-60,0,6,0,6
1037,40,1,3,0,4
1038,-60,0,6,0,6
1039,55,1,0,0,1
1040,-60,0,6,0,6
1041,50,1,4,0,8
1042,-60,0,6,0,6
1043,50,1,1,0,2
1044,55,1,3,0,7
1045,55,1,4,0,9
1046,-60,0,6,0,6
1047,55,1,3,0,7
1048,55,1,2,0,5
1049,55,1,4,0,9
1050,45,1,3,0,5
1051,-55,0,6,0,7
1052,-60,0,6,0,6
1053,60,1,2,0,6
1054,-45,0,6,0,9
1055,40,1,5,0,8
1056,-60,0,6,0,6
1057,-60,0,6,0,6
1058,-60,0,6,0,6
1059,-60,0,6,0,6
1060,-55,0,6,0,7
1061,50,1,2,0,4
1062,-60,0,6,0,6
1063,50,1,3,0,6
1064,-60,0,6,0,6
1065,50,1,4,0,8
1066,-60,0,6,0,6
1067,50,1,1,0,2
1068,-60,0,6,0,6
1069,-55,0,6,0,7
1070,-60,0,6,0,6
1071,-60,0,6,0,6
1072,45,1,5,0,9
1073,-60,0,6,0,6
1074,65,1,2,0,6
1075,45,1,5,0,9
1076,-60,0,6,0,6
1077,45,1,5,0,8
1078,-55,0,6,0,7
1079,-60,0,6,0,6
1080,-55,0,6,0,7
1081,-55,0,6,0,7
1082,-60,0,6,0,6
1083,50,1,2,0,4
1084,40,1,5,0,8
1085,-55,0,6,0,7
1086,65,1,0,0,3
1087,-60,0,6,0,6
1088,55,1,1,0,3
1089,50,1,5,0,10
1090,-45,0,6,0,9
1091,-55,0,6,0,7
1092,-40,0,6,0,10
1093,55,1,4,0,8
1094,-60,0,6,0,6
1095,-60,0,6,0,6
1096,-60,0,6,0,6
1097,-55,0,6,0,7
